,2010,2015
COA_SC_LN,191.022,17.323
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,0.0,40.31
GAS_CC,105.376,138.731
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,65.256,65.666
REW_HYD_LG,0.0,0.0
REW_HYD_PS,0.0,0.0
REW_WND_ON_2530,0.0,0.0
REW_WND_ON_3035,0.0,0.0
REW_WND_ON_3540,0.0,0.0
REW_WND_ON_40UP,0.0,0.0
REW_PV_UTI,0.0,0.0
REW_PV_RFT,0.0,0.0
BIO_ST,0.0,0.0
BIO_CHP,147.012,155.727
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,52.854,60.627
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,152.665,131.136
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,0.0,0.0
