,2010,2015
COA_SUB_HC,514.873,213.069
COA_SC_HC,0.0,0.0
COA_USC_HC,0.0,0.0
COA_IGCC_HC,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0
GAS_GT,59.318,21.348
GAS_CC,556.434,925.656
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,0.0,0.0
REW_HYD_LG,48.28,75.869
REW_HYD_PS,22.404,44.808
REW_WND_ON_2530,41.832,164.881
REW_WND_ON_3035,0.0,0.0
REW_WND_ON_3540,0.0,0.0
REW_WND_ON_40UP,0.0,10.857
REW_PV_UTI,138.155,138.155
REW_PV_RFT,0.0,0.0
BIO_ST,6.059,6.059
BIO_CHP,181.899,217.876
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,133.391,183.749
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,79.069,79.197
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,79.071
OIL_ST,63.031,63.031
