,2010,2015
COA_SUB_HC,258.317,47.802
COA_SC_HC,0.0,0.0
COA_USC_HC,0.0,0.0
COA_IGCC_HC,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0
COA_SUB_LN,254.565,30.158
COA_SC_LN,286.982,41.137
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,22.442,43.041
GAS_CC,489.29,891.425
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,251.115,240.741
REW_HYD_LG,0.0,0.0
REW_HYD_SM,0.0,0.0
REW_HYD_PS,0.0,0.0
REW_WND_ON_2025,0.0,0.0
REW_WND_ON_2530,0.0,0.0
REW_WND_ON_3035,0.0,0.0
REW_WND_ON_3540,0.0,0.0
REW_WND_ON_40UP,0.0,0.0
REW_WND_OFF_2025,0.0,0.0
REW_WND_OFF_2530,0.0,0.0
REW_WND_OFF_3035,0.0,0.0
REW_WND_OFF_3540,0.0,0.0
REW_WND_OFF_4045,0.0,0.0
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,0.0,0.0
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
REW_GEO_FLA,0.0,0.0
REW_GEO_BIN,0.0,0.0
REW_GEO_EGS,0.0,0.0
BIO_ST,0.0,0.0
BIO_CHP,430.405,486.659
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,384.838,444.388
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,311.309,267.735
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,56.34
OIL_ST,0.0,0.0
