,2010,2015,2020
COA_SUB_HC,110.029,41.401,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,0.0,0.0,0.0
COA_SC_LN,102.199,18.845,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,0.48,11.97,38.932
GAS_CC,49.807,210.724,278.322
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.25,0.558,1.164
REW_HYD_LG,0.0,0.0,0.0
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,0.0,0.0,0.0
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,0.0,0.0,0.0
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,0.0
REW_WND_ON_40UP,0.0,0.0,0.0
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,0.0,0.0,0.0
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.0,0.0,0.0
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,56.513,136.172,211.543
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,52.53,122.52,192.511
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,23.218,54.153,85.088
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,2.463,15.068
OIL_ST,0.0,0.0,0.0
